,rate,ampl,duration
FC1_rel_10_0,0.6666666666666666,8.011019351762068e-07,116.0
FC1_post_10_0,0,0,0
FC1_p-post_10_0,0.3993610223642173,2.90145100284469e-06,124.0
FC1_p-pre_11_0,0,0,0
FC1_pre_11_0,1.0,1.4650809187163379e-06,112.0
FC1_prep_11_0,0,0,0
FC1_mov_11_0,0.3333333333333333,9.024831583627075e-07,124.0
FC1_rel_11_0,0,0,0
FC1_post_11_0,0,0,0
FC1_p-post_11_0,0.3993610223642173,1.4735670444779066e-06,180.0
FC1_p-pre_12_0,0,0,0
FC1_pre_12_0,0,0,0
FC1_prep_12_0,0,0,0
FC1_mov_12_0,0.3333333333333333,2.406500250046141e-06,120.0
FC1_rel_12_0,0.6666666666666666,9.067426569150578e-07,104.0
FC1_post_12_0,0.3333333333333333,1.8012877896870349e-06,148.0
FC1_p-post_12_0,0.3993610223642173,1.570105573468514e-06,104.0
FC1_p-pre_13_0,0,0,0
FC1_pre_13_0,1.0,2.7345039474248174e-06,176.0
FC1_prep_13_0,1.6666666666666667,1.4155457734629615e-06,200.0
FC1_mov_13_0,1.0,1.1946624981618236e-06,120.0
FC1_mov_13_1,1.0,2.0800533471820516e-06,168.0
FC1_mov_13_2,1.0,2.9651967616689256e-06,172.0
FC1_rel_13_0,0.6666666666666666,9.069554695898063e-07,116.0
FC1_post_13_0,0.3333333333333333,1.929000962810976e-06,148.0
FC1_p-post_13_0,1.1980830670926517,9.339168585713689e-07,188.0
FC1_p-post_13_1,1.1980830670926517,1.5486462696936898e-06,116.0
FC1_p-post_13_2,1.1980830670926517,1.4540781990106544e-06,128.0
FC1_p-pre_14_0,0,0,0
FC1_pre_14_0,1.0,1.3452443671620513e-06,164.0
FC1_prep_14_0,1.6666666666666667,5.751091617553951e-07,104.0
FC1_mov_14_0,0.6666666666666666,5.162221430601656e-07,104.0
FC1_mov_14_1,0.6666666666666666,1.319200793347412e-06,112.0
FC1_rel_14_0,1.3333333333333333,1.319200793347412e-06,124.0
FC1_rel_14_1,1.3333333333333333,7.577867443981455e-07,132.0
FC1_post_14_0,0.3333333333333333,2.6610549037476843e-06,104.0
FC1_p-post_14_0,0.3993610223642173,1.6682051142673682e-06,144.0
FC1_p-pre_15_0,0,0,0
FC1_pre_15_0,1.0,1.3288342885485548e-06,108.0
FC1_prep_15_0,0,0,0
FC1_mov_15_0,0,0,0
FC1_rel_15_0,0.6666666666666666,1.2606976648629045e-06,112.0
FC1_post_15_0,1.0,1.9780104411197633e-06,128.0
FC1_post_15_1,1.0,1.9358410867478174e-06,144.0
FC1_post_15_2,1.0,2.9142013582213577e-06,152.0
FC1_p-post_15_0,0.7987220447284346,1.4218349196434522e-06,116.0
FC1_p-post_15_1,0.7987220447284346,1.1409126433725988e-06,124.0
FC1_p-pre_16_0,0,0,0
FC1_pre_16_0,1.0,1.5585939525164185e-06,128.0
FC1_prep_16_0,0,0,0
FC1_mov_16_0,0.3333333333333333,1.47128448354038e-06,216.0
FC1_rel_16_0,0,0,0
FC1_post_16_0,0.6666666666666666,1.0127501878454353e-06,160.0
FC1_post_16_1,0.6666666666666666,9.788791782077631e-07,112.0
FC1_p-post_16_0,0.3993610223642173,1.1969470653174596e-06,104.0
FC1_p-pre_17_0,0,0,0
FC1_pre_17_0,0,0,0
FC1_prep_17_0,0,0,0
FC1_mov_17_0,0.3333333333333333,6.320943305788488e-07,112.0
FC1_rel_17_0,0,0,0
FC1_post_17_0,0.3333333333333333,1.6153779635140667e-06,120.0
FC1_p-post_17_0,0.3993610223642173,1.5724482592298058e-06,128.0
FC1_p-pre_18_0,0,0,0
FC1_pre_18_0,0,0,0
FC1_prep_18_0,1.6666666666666667,1.6486612707863105e-06,140.0
FC1_mov_18_0,1.0,1.6486612707863105e-06,156.0
FC1_mov_18_1,1.0,9.551504112423494e-07,112.0
FC1_mov_18_2,1.0,6.084907362795751e-07,120.0
FC1_rel_18_0,0,0,0
FC1_post_18_0,0.3333333333333333,1.220573454736108e-06,120.0
FC1_p-post_18_0,0.3993610223642173,1.3363096421890868e-06,112.0
FC1_p-pre_19_0,0,0,0
FC1_pre_19_0,0,0,0
FC1_prep_19_0,0,0,0
FC1_mov_19_0,0.3333333333333333,2.7236378321961856e-06,116.0
FC1_rel_19_0,0.6666666666666666,1.712995904754422e-06,168.0
FC1_post_19_0,0,0,0
FC1_p-post_19_0,0.3993610223642173,2.2854624310303604e-06,208.0
FC1_p-pre_20_0,0,0,0
FC1_pre_20_0,0,0,0
FC1_prep_20_0,0,0,0
FC1_mov_20_0,0.3333333333333333,7.664849357639999e-07,120.0
FC1_rel_20_0,0,0,0
FC1_post_20_0,0.3333333333333333,8.789496351616606e-07,132.0
FC1_p-post_20_0,0,0,0
FC1_p-pre_21_0,0,0,0
FC1_pre_21_0,1.0,2.0794182452865605e-06,104.0
FC1_prep_21_0,0,0,0
FC1_mov_21_0,0.6666666666666666,1.0794016207823558e-06,104.0
FC1_mov_21_1,0.6666666666666666,1.3307302322016046e-06,156.0
FC1_rel_21_0,0.6666666666666666,1.3307302322016046e-06,144.0
FC1_post_21_0,0.6666666666666666,1.924650590098366e-06,204.0
FC1_post_21_1,0.6666666666666666,1.340097162515758e-06,276.0
FC1_p-post_21_0,0.3993610223642173,8.867351288300542e-07,116.0
FC1_p-pre_22_0,0,0,0
FC1_pre_22_0,0,0,0
FC1_prep_22_0,0,0,0
FC1_mov_22_0,0,0,0
FC1_rel_22_0,0,0,0
FC1_post_22_0,0,0,0
FC1_p-post_22_0,0,0,0
FC1_p-pre_23_0,0,0,0
FC1_pre_23_0,0,0,0
FC1_prep_23_0,0,0,0
FC1_mov_23_0,0.3333333333333333,1.163653836837776e-06,124.0
FC1_rel_23_0,0.6666666666666666,1.8532110835253546e-06,124.0
FC1_post_23_0,0.3333333333333333,1.6110732218792218e-06,132.0
FC1_p-post_23_0,0.7987220447284346,2.007657800703763e-06,196.0
FC1_p-post_23_1,0.7987220447284346,1.3319251035987903e-06,104.0
FC1_p-pre_24_0,0,0,0
FC1_pre_24_0,0,0,0
FC1_prep_24_0,0,0,0
FC1_mov_24_0,0.3333333333333333,4.4002292159188974e-07,116.0
FC1_rel_24_0,1.3333333333333333,4.4002292159188974e-07,144.0
FC1_rel_24_1,1.3333333333333333,7.592772277799083e-07,256.0
FC1_post_24_0,1.0,7.592772277799083e-07,104.0
FC1_post_24_1,1.0,3.1429009144789558e-06,224.0
FC1_post_24_2,1.0,2.0545090566745967e-06,152.0
FC1_p-post_24_0,0,0,0
FC1_p-pre_25_0,0,0,0
FC1_pre_25_0,0,0,0
FC1_prep_25_0,0,0,0
FC1_mov_25_0,0.3333333333333333,4.551768158817532e-07,128.0
FC1_rel_25_0,0,0,0
FC1_post_25_0,0.3333333333333333,3.821497490671656e-06,228.0
FC1_p-post_25_0,0.7987220447284346,9.160502310634635e-07,108.0
FC1_p-post_25_1,0.7987220447284346,1.427673633357818e-06,144.0
FC1_p-pre_26_0,0,0,0
FC1_pre_26_0,1.0,7.954293912482309e-07,140.0
FC1_prep_26_0,0,0,0
FC1_mov_26_0,0.3333333333333333,1.1062316089462357e-06,184.0
FC1_rel_26_0,0.6666666666666666,1.2786831015251597e-06,112.0
FC1_post_26_0,0.3333333333333333,1.8712837817677044e-06,104.0
FC1_p-post_26_0,0.7987220447284346,1.2544850667157363e-06,192.0
FC1_p-post_26_1,0.7987220447284346,9.589276943584835e-07,180.0
FC1_p-pre_27_0,0,0,0
FC1_pre_27_0,1.0,1.1588681673072011e-06,132.0
FC1_prep_27_0,0,0,0
FC1_mov_27_0,0.6666666666666666,1.2976316557983953e-06,172.0
FC1_mov_27_1,0.6666666666666666,1.4488203416402938e-06,140.0
FC1_rel_27_0,0.6666666666666666,1.5540901047274511e-06,144.0
FC1_post_27_0,0.3333333333333333,2.2227796742200705e-06,108.0
FC1_p-post_27_0,0,0,0
C3_p-pre_1_0,0,0,0
C3_pre_1_0,0,0,0
C3_prep_1_0,0,0,0
C3_mov_1_0,0,0,0
C3_rel_1_0,0,0,0
C3_post_1_0,0.3333333333333333,1.959973793421104e-06,104.0
C3_p-post_1_0,0,0,0
C3_p-pre_2_0,0,0,0
C3_pre_2_0,0,0,0
C3_prep_2_0,0,0,0
C3_mov_2_0,0,0,0
C3_rel_2_0,0.6666666666666666,1.372161412457793e-06,156.0
C3_post_2_0,0.3333333333333333,1.1930133790114534e-06,116.0
C3_p-post_2_0,0,0,0
C3_p-pre_3_0,0,0,0
C3_pre_3_0,0,0,0
C3_prep_3_0,0,0,0
C3_mov_3_0,0.3333333333333333,1.5124999431812373e-06,184.0
C3_rel_3_0,0,0,0
C3_post_3_0,0.6666666666666666,1.4428511075473294e-06,108.0
C3_post_3_1,0.6666666666666666,1.4475688027488132e-06,124.0
C3_p-post_3_0,0.7987220447284346,1.9747680576901626e-06,140.0
C3_p-post_3_1,0.7987220447284346,1.59622716912123e-06,120.0
C3_p-pre_4_0,0,0,0
C3_pre_4_0,0,0,0
C3_prep_4_0,1.6666666666666667,1.6591564708951084e-06,108.0
C3_mov_4_0,0.3333333333333333,1.2255991678836339e-06,104.0
C3_rel_4_0,0,0,0
C3_post_4_0,0.6666666666666666,1.3311609918937059e-06,116.0
C3_post_4_1,0.6666666666666666,1.4912178640544003e-06,152.0
C3_p-post_4_0,0.3993610223642173,1.647771405880351e-06,112.0
C3_p-pre_5_0,0,0,0
C3_pre_5_0,0,0,0
C3_prep_5_0,1.6666666666666667,1.8382606209835144e-06,160.0
C3_mov_5_0,0,0,0
C3_rel_5_0,0,0,0
C3_post_5_0,0,0,0
C3_p-post_5_0,0.3993610223642173,2.98794154417299e-06,124.0
C3_p-pre_6_0,0,0,0
C3_pre_6_0,0,0,0
C3_prep_6_0,0,0,0
C3_mov_6_0,0.6666666666666666,1.7699071504085063e-06,160.0
C3_mov_6_1,0.6666666666666666,1.7133737632962434e-06,132.0
C3_rel_6_0,0,0,0
C3_post_6_0,0.3333333333333333,1.7363602580581175e-06,152.0
C3_p-post_6_0,0,0,0
C3_p-pre_7_0,0,0,0
C3_pre_7_0,0,0,0
C3_prep_7_0,0,0,0
C3_mov_7_0,0.3333333333333333,1.102877982983555e-06,120.0
C3_rel_7_0,0,0,0
C3_post_7_0,0.6666666666666666,2.550378360220071e-06,104.0
C3_post_7_1,0.6666666666666666,1.5839639508826321e-06,104.0
C3_p-post_7_0,0,0,0
C3_p-pre_8_0,0,0,0
C3_pre_8_0,1.0,2.6788124096814703e-06,128.0
C3_prep_8_0,0,0,0
C3_mov_8_0,0,0,0
C3_rel_8_0,0.6666666666666666,1.7450307250758912e-06,116.0
C3_post_8_0,0.3333333333333333,1.0390896653360127e-06,108.0
C3_p-post_8_0,0.7987220447284346,2.62709716483308e-06,104.0
C3_p-post_8_1,0.7987220447284346,1.4806444989939605e-06,136.0
C3_p-pre_9_0,2.5,2.5248856426632746e-06,112.0
C3_pre_9_0,2.0,2.5248856426632746e-06,128.0
C3_pre_9_1,2.0,1.482160171435172e-06,116.0
C3_prep_9_0,0,0,0
C3_mov_9_0,1.0,1.4146687532963955e-06,108.0
